id,name,price
cb76350a-e3ff-44ad-bd2f-0abeda30340b,Hammer,5.98
9e3554a8-f98b-4d66-80f1-72fe8e96b826,Screwdriver,3.99
e78a6b2d-760e-42e4-a51c-66abdac4e0fb,Nail Gun,29.98
9ba7d210-7ee8-477e-b01e-069198c6fca0,Gas Grill,499.98
a99675a1-a127-4bbc-bf97-13e169793000,Christmas Inflatiable,19.99
9a4bcf11-02ee-4971-a736-81cfab5b1053,Trash Can,49.98
b730e391-68bb-4e45-8fc7-6b2ce75b3c53,Celing Fan,119.98
9c9ffd03-707d-4e2f-ab5c-ac0e7ffca3b4,Light Blub,2.98
cb41c784-4faa-440a-82ca-ea564eb22b74,Box Fan,17.49
04339838-cd0b-4b29-8307-db0fc1ec1797,Doorbell,49.49
ba3f9263-e104-4d89-bfc7-f1cf726478d4,Front Door,649.98
2d014c5a-5570-4ee7-8501-103d01251c01,Window,299.98
36923213-68e9-4a94-9e7c-f0389dbbd2a4,Toilet,120.49
0db62db3-b799-4e4e-9a86-a38b62bf38df,Sink,149.49
8d789158-27a9-4304-b0ed-864db490b6ed,Rope 120ft,19.49
f9847a80-6c27-4cd7-98fe-ad34510a2781,Toilet Plunger,2.98
06df04e7-75df-44ad-8474-6ac51caa50c7,2x4 10ft,3.49